star,xslid,simbad,filename,ra,dec,teff,e_teff,logg,e_logg,feh,e_feh,comment
ISO-MCMS J010031.5-730724,X0018,ISO-MCMS J010031.5-730724,xsl_spectrum_X0018_merged_ncl.fits,15.1312917,-73.12325,nan,nan,nan,nan,nan,nan,
CL* NGC 371 FTW R20,X0041,CL* NGC 371 FTW R20,xsl_spectrum_X0041_merged.fits,15.1730417,-72.1769167,3977.0,53.0,0.09000000357627869,0.1899999976158142,-0.1599999964237213,0.14000000059604645,
CL* NGC 371 LE 31,X0505,CL* NGC 371 LE 31,xsl_spectrum_X0505_merged_ncl.fits,15.439125,-72.1324167,nan,nan,nan,nan,nan,nan,
[M2002] SMC 52334,X0006,[M2002] SMC 52334,xsl_spectrum_X0006_merged.fits,15.4757917,-71.8718333,3997.0,54.0,0.20999999344348907,0.1899999976158142,-0.2199999988079071,0.17000000178813934,
[M2002] SMC 55188,X0004,[M2002] SMC 55188,xsl_spectrum_X0004_merged.fits,15.76025,-72.0313889,3396.0,35.0,1.0299999713897705,0.14000000059604645,-0.5199999809265137,0.09000000357627869,
HD 6268,X0733,HD 6268,xsl_spectrum_X0733_merged.fits,15.8257083,-27.8805278,4662.0,47.0,1.3700000047683716,0.14000000059604645,-2.4700000286102295,0.07000000029802322,
HD 6229,X0007,HD 6229,xsl_spectrum_X0007_merged.fits,15.9019167,23.7684167,5055.0,64.0,2.119999885559082,0.15000000596046448,-1.2100000381469727,0.09000000357627869,
SV* HV 1963,X0511,SV* HV 1963,xsl_spectrum_X0511_merged.fits,16.1109583,-72.5778333,3298.0,54.0,0.11999999731779099,0.1899999976158142,-0.1599999964237213,0.14000000059604645,
SV* HV 12179,X0514,SV* HV 12179,xsl_spectrum_X0514_merged.fits,16.257375,-72.1156389,3491.0,57.0,0.23000000417232513,0.1899999976158142,-0.5400000214576721,0.17000000178813934,
CL* NGC 419 LE 35,X0513,CL* NGC 419 LE 35,xsl_spectrum_X0513_merged_ncl.fits,17.072875,-72.8836944,6222.0,186.0,4.079999923706055,0.3799999952316284,-0.25999999046325684,0.18000000715255737,C-star with contamination by nearby hotter star below 450 nm
CL* NGC 419 LE 27,X0512,CL* NGC 419 LE 27,xsl_spectrum_X0512_merged_ncl.fits,17.086125,-72.8811111,nan,nan,nan,nan,nan,nan,
BBB SMC 148,X0506,BBB SMC 148,xsl_spectrum_X0506_merged.fits,17.3245,-72.7616667,4270.0,47.0,0.49000000953674316,0.1899999976158142,-0.5099999904632568,0.10999999940395355,
BBB SMC 104,X0504,BBB SMC 104,xsl_spectrum_X0504_merged.fits,17.62275,-72.82625,4363.0,47.0,0.5799999833106995,0.1899999976158142,-0.6399999856948853,0.10999999940395355,
HD 7595,X0508,HD 7595,xsl_spectrum_X0508_merged.fits,18.8730417,-28.2648611,4334.0,31.0,1.8700000047683716,0.15000000596046448,-0.6100000143051147,0.05999999865889549,
U Psc,X0527,U Psc,xsl_spectrum_X0527_merged.fits,20.7436667,12.8677222,3292.0,54.0,0.7599999904632568,0.1899999976158142,-0.20000000298023224,0.17000000178813934,
HD 8724,X0077,HD 8724,xsl_spectrum_X0077_merged.fits,21.5732917,17.1264167,4732.0,48.0,1.6200000047683716,0.15000000596046448,-1.6799999475479126,0.07000000029802322,
HD 8724,X0092,HD 8724,xsl_spectrum_X0092_merged.fits,21.5732917,17.1264167,4732.0,48.0,1.6200000047683716,0.15000000596046448,-1.6799999475479126,0.07000000029802322,
HD 9051,X0768,HD 9051,xsl_spectrum_X0768_merged.fits,22.19375,-24.3403889,4873.0,48.0,2.0,0.14000000059604645,-1.690000057220459,0.07000000029802322,
HD 9051,X0769,HD 9051,xsl_spectrum_X0769_merged.fits,22.19375,-24.3403889,4873.0,48.0,2.0,0.14000000059604645,-1.690000057220459,0.07000000029802322,
[M2002] SMC 83593,X0021,[M2002] SMC 83593,xsl_spectrum_X0021_merged.fits,22.6415417,-73.3115556,3607.0,59.0,0.8799999952316284,0.1899999976158142,-0.9800000190734863,0.17000000178813934,
HD 9356,X0770,HD 9356,xsl_spectrum_X0770_merged.fits,23.0340417,1.3417222,6666.0,132.0,3.4600000381469727,0.20999999344348907,-0.8999999761581421,0.09000000357627869,
HD 9356,X0775,HD 9356,xsl_spectrum_X0775_merged.fits,23.0340417,1.3417222,6666.0,132.0,3.4600000381469727,0.20999999344348907,-0.8999999761581421,0.09000000357627869,
HE 0146-1548,X0760,HE 0146-1548,xsl_spectrum_X0760_merged.fits,27.1446667,-15.5567778,5092.0,69.0,2.740000009536743,0.17000000178813934,-2.690000057220459,0.09000000357627869,
HD 11397,X0778,HD 11397,xsl_spectrum_X0778_merged.fits,27.918875,-16.3176389,5449.0,71.0,4.130000114440918,0.14000000059604645,-0.6499999761581421,0.07000000029802322,Artifacts in K-band (NIR arm)
HD 13043,X0203,HD 13043,xsl_spectrum_X0203_merged.fits,31.8927917,-0.6174167,5746.0,90.0,4.039999961853027,0.14000000059604645,-0.029999999329447746,0.05999999865889549,
HD 13043,X0281,HD 13043,xsl_spectrum_X0281_merged.fits,31.8927917,-0.6174167,5746.0,90.0,4.039999961853027,0.14000000059604645,-0.029999999329447746,0.05999999865889549,
HD 14625,X0559,HD 14625,xsl_spectrum_X0559_merged.fits,35.4184583,-0.1486111,4753.0,33.0,2.759999990463257,0.14000000059604645,0.20000000298023224,0.05000000074505806,
HD 14938,X0529,HD 14938,xsl_spectrum_X0529_merged.fits,36.097125,-3.1040278,6224.0,97.0,4.199999809265137,0.14000000059604645,-0.3199999928474426,0.07000000029802322,
HD 16031,X0065,HD 16031,xsl_spectrum_X0065_merged.fits,38.5460833,-12.3842778,6165.0,139.0,4.150000095367432,0.14000000059604645,-1.6699999570846558,0.09000000357627869,
HD 16160,X0066,HD 16160,xsl_spectrum_X0066_merged_scl.fits,39.0204167,6.8867778,4699.0,49.0,4.579999923706055,0.14000000059604645,-0.20999999344348907,0.05999999865889549,
HD 16232,X0793,HD 16232,xsl_spectrum_X0793_merged.fits,39.2405833,24.6480556,6280.0,98.0,4.289999961853027,0.14000000059604645,0.07999999821186066,0.05999999865889549,
HD 16456,X0782,HD 16456,xsl_spectrum_X0782_merged.fits,39.274,-42.9633333,7830.0,144.0,2.380000114440918,0.20999999344348907,-1.4700000286102295,0.10000000149011612,
HD 16673,X0791,HD 16673,xsl_spectrum_X0791_merged.fits,40.05175,-9.4528611,6189.0,97.0,4.269999980926514,0.14000000059604645,-0.05000000074505806,0.05999999865889549,
HD 17072,X0042,HD 17072,xsl_spectrum_X0042_merged_scl.fits,40.1670833,-69.233,5389.0,65.0,2.5299999713897705,0.14000000059604645,-1.059999942779541,0.07999999821186066,
HD 17072,X0089,HD 17072,xsl_spectrum_X0089_merged.fits,40.1670833,-69.233,5389.0,65.0,2.5299999713897705,0.14000000059604645,-1.059999942779541,0.07999999821186066,
BD+09 0352,X0795,BD+09 0352,xsl_spectrum_X0795_merged.fits,40.3068333,9.7700278,6000.0,135.0,4.0,0.14000000059604645,-2.0899999141693115,0.09000000357627869,
GJ 109,X0792,GJ 109,xsl_spectrum_X0792_merged.fits,41.064625,25.5233611,3387.0,54.0,4.920000076293945,0.14000000059604645,-0.3499999940395355,0.09000000357627869,
HD 18907,X0043,HD 18907,xsl_spectrum_X0043_merged_scl.fits,45.4067917,-28.0914722,5076.0,66.0,3.680000066757202,0.14000000059604645,-0.7099999785423279,0.07000000029802322,
HD 18769,X0073,HD 18769,xsl_spectrum_X0073_merged.fits,45.4755833,26.4623333,8248.0,163.0,3.4200000762939453,0.20999999344348907,0.25,0.07000000029802322,
HD 19019,X0071,HD 19019,xsl_spectrum_X0071_merged.fits,45.96175,6.1332778,6031.0,94.0,4.320000171661377,0.14000000059604645,-0.15000000596046448,0.05999999865889549,
HD 19304,X0545,HD 19304,xsl_spectrum_X0545_merged.fits,46.6065833,3.2645,6582.0,130.0,4.21999979019165,0.20999999344348907,-0.44999998807907104,0.09000000357627869,
HD 19445,X0070,HD 19445,xsl_spectrum_X0070_merged.fits,47.106625,26.3309444,5928.0,134.0,4.019999980926514,0.14000000059604645,-2.0399999618530273,0.09000000357627869,
HD 19787,X0084,HD 19787,xsl_spectrum_X0084_merged_scl.fits,47.9073333,19.7266667,4805.0,32.0,2.690000057220459,0.14000000059604645,0.09000000357627869,0.05000000074505806,
HD 20619,X0546,HD 20619,xsl_spectrum_X0546_merged.fits,49.757875,-2.8431667,5620.0,88.0,4.349999904632568,0.14000000059604645,-0.25999999046325684,0.07000000029802322,
HD 21197,X0560,HD 21197,xsl_spectrum_X0560_merged.fits,51.248875,-5.36375,4340.0,45.0,4.440000057220459,0.14000000059604645,0.15000000596046448,0.05000000074505806,
HD 23924,X0794,HD 23924,xsl_spectrum_X0794_merged.fits,57.4205,23.3415556,8079.0,160.0,3.9100000858306885,0.20999999344348907,0.3100000023841858,0.07000000029802322,
HD 24616,X0423,HD 24616,xsl_spectrum_X0423_merged.fits,58.49775,-23.1370556,5020.0,66.0,3.3499999046325684,0.14000000059604645,-0.7400000095367432,0.07000000029802322,
HD 25329,X0075,HD 25329,xsl_spectrum_X0075_merged.fits,60.8125,35.2732778,4923.0,75.0,4.519999980926514,0.14000000059604645,-1.6100000143051147,0.07000000029802322,
HD 25532,X0547,HD 25532,xsl_spectrum_X0547_merged.fits,61.045875,23.4075278,5622.0,82.0,2.6600000858306885,0.14000000059604645,-1.0499999523162842,0.07999999821186066,
HD 25673,X0561,HD 25673,xsl_spectrum_X0561_merged.fits,61.0845833,-4.6551389,5127.0,67.0,4.630000114440918,0.14000000059604645,-0.38999998569488525,0.07000000029802322,
HD 26297,X0548,HD 26297,xsl_spectrum_X0548_merged.fits,62.26425,-15.8908333,4514.0,44.0,1.1299999952316284,0.14000000059604645,-1.75,0.07000000029802322,
BD+06 0648,X0549,BD+06 0648,xsl_spectrum_X0549_merged.fits,63.304625,6.6004722,4628.0,50.0,1.309999942779541,0.15000000596046448,-1.9199999570846558,0.07000000029802322,
HD 284248,X0072,HD 284248,xsl_spectrum_X0072_merged.fits,63.648,22.3511667,6174.0,140.0,4.179999828338623,0.15000000596046448,-1.6200000047683716,0.09000000357627869,
HD 27295,X0081,HD 27295,xsl_spectrum_X0081_merged_scl.fits,64.85875,21.1423056,11550.0,313.0,4.239999771118164,0.23999999463558197,0.10000000149011612,0.07999999821186066,
HD 27295,X0313,HD 27295,xsl_spectrum_X0313_merged.fits,64.85875,21.1423056,11550.0,313.0,4.239999771118164,0.23999999463558197,0.10000000149011612,0.07999999821186066,
HD 27771,X0558,HD 27771,xsl_spectrum_X0558_merged.fits,65.8847083,14.6704722,5325.0,69.0,4.619999885559082,0.14000000059604645,0.27000001072883606,0.05999999865889549,
HD 28978,X0074,HD 28978,xsl_spectrum_X0074_merged.fits,68.5344583,5.5686111,8708.0,173.0,3.359999895095825,0.20999999344348907,-0.33000001311302185,0.09000000357627869,
HD 29391,X0082,HD 29391,xsl_spectrum_X0082_merged_scl.fits,69.4005417,-2.4735278,7360.0,146.0,4.070000171661377,0.20999999344348907,0.07000000029802322,0.07000000029802322,
HD 29391,X0306,HD 29391,xsl_spectrum_X0306_merged_scl.fits,69.4005417,-2.4735278,7360.0,146.0,4.070000171661377,0.20999999344348907,0.07000000029802322,0.07000000029802322,
HD 29391,X0311,HD 29391,xsl_spectrum_X0311_merged_scl.fits,69.4005417,-2.4735278,7360.0,146.0,4.070000171661377,0.20999999344348907,0.07000000029802322,0.07000000029802322,
HD 30328,X0772,HD 30328,xsl_spectrum_X0772_merged.fits,71.687125,2.7005833,4737.0,32.0,2.640000104904175,0.14000000059604645,0.07000000029802322,0.05000000074505806,
T Cae,X0052,T Cae,xsl_spectrum_X0052_merged_ncl_ncge.fits,71.8288333,-36.2093056,nan,nan,nan,nan,nan,nan,
SHV 0448341-691510,X0783,SHV 0448341-691510,xsl_spectrum_X0783_merged.fits,72.0840833,-69.1673333,3712.0,38.0,1.100000023841858,0.15000000596046448,-0.9800000190734863,0.09000000357627869,
SHV 0448341-691510,X0784,SHV 0448341-691510,xsl_spectrum_X0784_merged_ncl.fits,72.0840833,-69.1673333,3712.0,38.0,1.100000023841858,0.15000000596046448,-0.9800000190734863,0.09000000357627869,
SHV 0448341-691510,X0785,SHV 0448341-691510,xsl_spectrum_X0785_merged_ncl_ncge.fits,72.0840833,-69.1673333,3712.0,38.0,1.100000023841858,0.15000000596046448,-0.9800000190734863,0.09000000357627869,
HD 30743,X0796,HD 30743,xsl_spectrum_X0796_merged.fits,72.426,-13.7696667,6390.0,100.0,4.139999866485596,0.14000000059604645,-0.4099999964237213,0.07000000029802322,
SHV 0452361-683928,X0045,SHV 0452361-683928,xsl_spectrum_X0045_merged_ncl.fits,73.1102917,-68.5770556,3263.0,39.0,1.1399999856948853,0.1899999976158142,-0.10000000149011612,0.15000000596046448,
SHV 0452361-683928,X0181,SHV 0452361-683928,xsl_spectrum_X0181_merged_ncl.fits,73.1102917,-68.5770556,3263.0,39.0,1.1399999856948853,0.1899999976158142,-0.10000000149011612,0.15000000596046448,
SHV 0452361-683928,X0259,SHV 0452361-683928,xsl_spectrum_X0259_merged_ncl.fits,73.1102917,-68.5770556,3263.0,39.0,1.1399999856948853,0.1899999976158142,-0.10000000149011612,0.15000000596046448,
EY Eri,X0577,EY Eri,xsl_spectrum_X0577_merged_ncl_ncge.fits,73.2385417,-10.033,2866.0,85.0,2.200000047683716,0.46000000834465027,0.23000000417232513,0.41999998688697815,
HD 31421,X0094,HD 31421,xsl_spectrum_X0094_merged_scl.fits,74.0928333,13.5144444,4452.0,30.0,2.2699999809265137,0.14000000059604645,-0.25999999046325684,0.05999999865889549,
HV 2255,X0044,HV 2255,xsl_spectrum_X0044_merged.fits,74.4304167,-70.1473333,3878.0,52.0,0.17000000178813934,0.1899999976158142,0.07000000029802322,0.14000000059604645,
HV 2255,X0205,HV 2255,xsl_spectrum_X0205_merged.fits,74.4304167,-70.1473333,3878.0,52.0,0.17000000178813934,0.1899999976158142,0.07000000029802322,0.14000000059604645,
HV 2255,X0260,HV 2255,xsl_spectrum_X0260_merged.fits,74.4304167,-70.1473333,3878.0,52.0,0.17000000178813934,0.1899999976158142,0.07000000029802322,0.14000000059604645,
SHV 0500412-684054,X0515,SHV 0500412-684054,xsl_spectrum_X0515_merged.fits,75.1239167,-68.6103611,nan,nan,nan,nan,nan,nan,
SHV 0501215-680112,X0046,SHV 0501215-680112,xsl_spectrum_X0046_merged_ncl.fits,75.3139583,-67.9496111,3313.0,54.0,0.5400000214576721,0.1899999976158142,-0.38999998569488525,0.17000000178813934,
SHV 0501215-680112,X0182,SHV 0501215-680112,xsl_spectrum_X0182_merged_ncl.fits,75.3139583,-67.9496111,3313.0,54.0,0.5400000214576721,0.1899999976158142,-0.38999998569488525,0.17000000178813934,
SHV 0501215-680112,X0261,SHV 0501215-680112,xsl_spectrum_X0261_merged_ncl.fits,75.3139583,-67.9496111,3313.0,54.0,0.5400000214576721,0.1899999976158142,-0.38999998569488525,0.17000000178813934,
SHV 0502469-692418,X0516,SHV 0502469-692418,xsl_spectrum_X0516_merged.fits,75.620375,-69.3360556,nan,nan,nan,nan,nan,nan,
SHV 0503595-691915,X0053,SHV 0503595-691915,xsl_spectrum_X0053_merged_ncl_ncge.fits,75.9255833,-69.2533611,3253.0,53.0,0.1599999964237213,0.1899999976158142,0.12999999523162842,0.14000000059604645,
SHV 0503595-691915,X0262,SHV 0503595-691915,xsl_spectrum_X0262_merged_ncl.fits,75.9255833,-69.2533611,3253.0,53.0,0.1599999964237213,0.1899999976158142,0.12999999523162842,0.14000000059604645,
SHV 0504353-712622,X0047,SHV 0504353-712622,xsl_spectrum_X0047_merged_ncl.fits,75.9832083,-71.3727778,nan,nan,nan,nan,nan,nan,
SHV 0506368-681557,X0048,SHV 0506368-681557,xsl_spectrum_X0048_merged_ncl.fits,76.6153333,-68.201,2915.0,48.0,0.41999998688697815,0.20999999344348907,-0.6700000166893005,0.18000000715255737,
SHV 0506368-681557,X0184,SHV 0506368-681557,xsl_spectrum_X0184_merged_ncl.fits,76.6153333,-68.201,2915.0,48.0,0.41999998688697815,0.20999999344348907,-0.6700000166893005,0.18000000715255737,
SHV 0506368-681557,X0264,SHV 0506368-681557,xsl_spectrum_X0264_merged_ncl.fits,76.6153333,-68.201,2915.0,48.0,0.41999998688697815,0.20999999344348907,-0.6700000166893005,0.18000000715255737,
HD 271018,X0518,HD 271018,xsl_spectrum_X0518_merged.fits,76.8090833,-66.0551111,6737.0,138.0,0.7799999713897705,0.28999999165534973,0.07000000029802322,0.14000000059604645,
SHV 0510004-692755,X0049,SHV 0510004-692755,xsl_spectrum_X0049_merged_ncl.fits,77.4189167,-69.4046111,3001.0,50.0,0.3400000035762787,0.20000000298023224,-0.05000000074505806,0.14000000059604645,
SHV 0510004-692755,X0237,SHV 0510004-692755,xsl_spectrum_X0237_merged_ncl_ncge.fits,77.4189167,-69.4046111,3001.0,50.0,0.3400000035762787,0.20000000298023224,-0.05000000074505806,0.14000000059604645,"A few artificial waves in the VIS arm, as for X0144"
HD 33299,X0110,HD 33299,xsl_spectrum_X0110_merged_scl.fits,77.64575,30.7975278,4525.0,49.0,0.9100000262260437,0.1899999976158142,-0.009999999776482582,0.09000000357627869,
[PHS2008] RGB 512,X0206,[PHS2008] RGB 512,xsl_spectrum_X0206_merged.fits,77.737625,-71.1928333,4189.0,38.0,1.1699999570846558,0.1599999964237213,-0.9700000286102295,0.07000000029802322,
[PHS2008] RGB 522,X0263,[PHS2008] RGB 522,xsl_spectrum_X0263_merged_scl.fits,77.8440833,-71.1243611,4118.0,31.0,1.3600000143051147,0.15000000596046448,-0.6100000143051147,0.05999999865889549,
HD 33793,X0540,HD 33793,xsl_spectrum_X0540_merged.fits,77.9190833,-45.0183889,3698.0,59.0,4.809999942779541,0.14000000059604645,-0.5899999737739563,0.09000000357627869,
HV 2360,X0050,HV 2360,xsl_spectrum_X0050_merged.fits,78.1931667,-67.3271667,3352.0,34.0,1.75,0.14000000059604645,-0.6399999856948853,0.09000000357627869,
[PHS2008] RGB 533,X0238,[PHS2008] RGB 533,xsl_spectrum_X0238_merged.fits,78.3028333,-71.3001389,4157.0,32.0,1.2899999618530273,0.15000000596046448,-0.6600000262260437,0.05999999865889549,
SHV 0515313-694303,X0517,SHV 0515313-694303,xsl_spectrum_X0517_merged.fits,78.7857917,-69.6639722,3413.0,56.0,-0.019999999552965164,0.1899999976158142,-0.4099999964237213,0.17000000178813934,
SHV 0515461-691822,X0054,SHV 0515461-691822,xsl_spectrum_X0054_merged_ncl.fits,78.8620417,-69.2520556,3129.0,32.0,1.3300000429153442,0.14000000059604645,-0.10999999940395355,0.07000000029802322,
SHV 0517337-725738,X0519,SHV 0517337-725738,xsl_spectrum_X0519_merged.fits,79.1388333,-72.9088889,4088.0,68.0,0.25999999046325684,0.20000000298023224,-1.309999942779541,0.15000000596046448,
SHV 0518222-750327,X0055,SHV 0518222-750327,xsl_spectrum_X0055_merged_ncl.fits,79.2072083,-75.0063333,nan,nan,nan,nan,nan,nan,
SHV 0518161-683543,X0530,SHV 0518161-683543,xsl_spectrum_X0530_merged.fits,79.5103333,-68.5441944,4078.0,64.0,0.20000000298023224,0.1899999976158142,-1.4800000190734863,0.14000000059604645,
SHV 0518331-685102,X0531,SHV 0518331-685102,xsl_spectrum_X0531_merged.fits,79.5729167,-68.79975,3311.0,54.0,-0.05000000074505806,0.1899999976158142,-0.2199999988079071,0.17000000178813934,
SHV 0518570-692207,X0056,SHV 0518570-692207,xsl_spectrum_X0056_merged_ncl.fits,79.6525833,-69.3180833,nan,nan,nan,nan,nan,nan,
SHV 0518571-690729,X0532,SHV 0518571-690729,xsl_spectrum_X0532_merged.fits,79.6629167,-69.0745,3276.0,54.0,0.36000001430511475,0.1899999976158142,-0.38999998569488525,0.17000000178813934,
HD 34797,X0113,HD 34797,xsl_spectrum_X0113_merged.fits,79.8262917,-18.5095278,12460.0,338.0,4.210000038146973,0.23999999463558197,0.5899999737739563,0.07999999821186066,
HD 34816,X0303,HD 34816,xsl_spectrum_X0303_merged_ncl_ncge.fits,79.8938333,-13.17675,30010.0,813.0,3.8499999046325684,0.23999999463558197,-0.07999999821186066,0.07999999821186066,
SHV 0520036-692817,X0509,SHV 0520036-692817,xsl_spectrum_X0509_merged.fits,79.926125,-69.4221111,3641.0,37.0,1.0499999523162842,0.14000000059604645,-0.6100000143051147,0.09000000357627869,
HV 2446,X0057,HV 2446,xsl_spectrum_X0057_merged_ncl.fits,80.0065833,-67.5783611,2876.0,35.0,1.1799999475479126,0.2199999988079071,-0.20999999344348907,0.12999999523162842,
SHV 0520261-693826,X0524,SHV 0520261-693826,xsl_spectrum_X0524_merged.fits,80.0139167,-69.5926389,4381.0,30.0,1.1200000047683716,0.14000000059604645,-0.20000000298023224,0.05000000074505806,
SHV 0520342-693911,X0592,SHV 0520342-693911,xsl_spectrum_X0592_merged.fits,80.0470417,-69.6055556,3319.0,54.0,0.23999999463558197,0.1899999976158142,-0.17000000178813934,0.14000000059604645,
SHV 0520505-705019,X0058,SHV 0520505-705019,xsl_spectrum_X0058_merged_ncl.fits,80.0625417,-70.7905833,nan,nan,nan,nan,nan,nan,
SHV 0520427-693637,X0534,SHV 0520427-693637,xsl_spectrum_X0534_merged_ncl.fits,80.084125,-69.5624444,nan,nan,nan,nan,nan,nan,
SHV 0520498-692715,X0543,SHV 0520498-692715,xsl_spectrum_X0543_merged_ncl.fits,80.1173333,-69.4063056,3127.0,51.0,0.28999999165534973,0.1899999976158142,-0.2199999988079071,0.17000000178813934,
HD 271182,X0542,HD 271182,xsl_spectrum_X0542_merged.fits,80.257125,-65.8006667,7379.0,151.0,0.6700000166893005,0.28999999165534973,0.8100000023841858,0.14000000059604645,
SHV 0522380-691255,X0059,SHV 0522380-691255,xsl_spectrum_X0059_merged_scl.fits,80.5761667,-69.1695556,3936.0,53.0,0.23999999463558197,0.1899999976158142,-0.4300000071525574,0.17000000178813934,
HD 35179,X0570,HD 35179,xsl_spectrum_X0570_merged.fits,80.5875417,-14.3972222,4933.0,34.0,2.299999952316284,0.14000000059604645,-0.6100000143051147,0.05999999865889549,
SHV 0523371-713351,X0510,SHV 0523371-713351,xsl_spectrum_X0510_merged.fits,80.7211667,-71.5194444,3847.0,33.0,1.2200000286102295,0.15000000596046448,-0.6399999856948853,0.09000000357627869,
SHV 0523357-692038,X0060,SHV 0523357-692038,xsl_spectrum_X0060_merged_ncl.fits,80.81125,-69.2993611,3123.0,52.0,0.4300000071525574,0.20000000298023224,-0.3199999928474426,0.17000000178813934,
NGC 1904 153,X0521,NGC 1904 153,xsl_spectrum_X0521_merged.fits,81.0380417,-24.5711389,4182.0,65.0,0.550000011920929,0.1899999976158142,-1.809999942779541,0.12999999523162842,
NGC 1904 160,X0522,NGC 1904 160,xsl_spectrum_X0522_merged.fits,81.039125,-24.5583611,4324.0,67.0,0.9100000262260437,0.1899999976158142,-1.4900000095367432,0.14000000059604645,
NGC 1904 223,X0523,NGC 1904 223,xsl_spectrum_X0523_merged.fits,81.077,-24.5287222,4226.0,65.0,0.6899999976158142,0.1899999976158142,-1.4199999570846558,0.12999999523162842,
SHV 0525012-694829,X0551,SHV 0525012-694829,xsl_spectrum_X0551_merged.fits,81.1509583,-69.7655556,3677.0,60.0,0.7900000214576721,0.1899999976158142,-0.46000000834465027,0.17000000178813934,
SHV 0525478-690944,X0061,SHV 0525478-690944,xsl_spectrum_X0061_merged_ncl.fits,81.3675833,-69.1203333,nan,nan,nan,nan,nan,nan,C star. NIR poor below 1.3 micro-m.
SHV 0525543-692639,X0098,SHV 0525543-692639,xsl_spectrum_X0098_merged_ncl.fits,81.3840833,-69.4025556,3232.0,33.0,1.149999976158142,0.14000000059604645,-0.4399999976158142,0.09000000357627869,
SHV 0526364-693639,X0099,SHV 0526364-693639,xsl_spectrum_X0099_merged_scl.fits,81.551875,-69.5703056,3752.0,61.0,0.6700000166893005,0.1899999976158142,-0.2800000011920929,0.17000000178813934,
SHV 0527072-701238,X0544,SHV 0527072-701238,xsl_spectrum_X0544_merged.fits,81.6575833,-70.1698889,nan,nan,nan,nan,nan,nan,
SHV 0527058-693746,X0533,SHV 0527058-693746,xsl_spectrum_X0533_merged_ncl.fits,81.6759583,-69.5895278,3143.0,52.0,0.03999999910593033,0.1899999976158142,-0.18000000715255737,0.14000000059604645,
SHV 0527122-695006,X0798,SHV 0527122-695006,xsl_spectrum_X0798_merged.fits,81.6944167,-69.7948611,3739.0,61.0,0.5099999904632568,0.1899999976158142,-0.20999999344348907,0.17000000178813934,M giant with contamination by nearby hot star below 450 nm
HD 35601,X0330,HD 35601,xsl_spectrum_X0330_merged_ncl_ncge.fits,81.7925833,29.9210556,3757.0,61.0,0.20999999344348907,0.1899999976158142,-0.019999999552965164,0.14000000059604645,
HV 2555,X0786,HV 2555,xsl_spectrum_X0786_merged.fits,82.0619167,-66.5461389,3522.0,58.0,0.09000000357627869,0.1899999976158142,0.25,0.14000000059604645,
SHV 0528537-695119,X0100,SHV 0528537-695119,xsl_spectrum_X0100_merged_ncl.fits,82.1155417,-69.8171389,16629.0,675.0,4.389999866485596,0.3100000023841858,-0.20000000298023224,0.1599999964237213,
CL* NGC 1978 LE 09,X0804,CL* NGC 1978 LE 09,xsl_spectrum_X0804_merged.fits,82.2114167,-66.2455833,3827.0,33.0,1.0700000524520874,0.15000000596046448,-0.550000011920929,0.09000000357627869,
CL* NGC 1978 LE 09,X0805,CL* NGC 1978 LE 09,xsl_spectrum_X0805_merged_scl.fits,82.2114167,-66.2455833,3827.0,33.0,1.0700000524520874,0.15000000596046448,-0.550000011920929,0.09000000357627869,
CL* NGC 1978 LE 09,X0806,CL* NGC 1978 LE 09,xsl_spectrum_X0806_merged_scl.fits,82.2114167,-66.2455833,3827.0,33.0,1.0700000524520874,0.15000000596046448,-0.550000011920929,0.09000000357627869,
[M2002] LMC 143035,X0118,[M2002] LMC 143035,xsl_spectrum_X0118_merged.fits,82.2644583,-69.1128333,3574.0,58.0,0.3400000035762787,0.1899999976158142,-0.05000000074505806,0.14000000059604645,
SHV 0529222-684846,X0803,SHV 0529222-684846,xsl_spectrum_X0803_merged_ncl.fits,82.2724583,-68.7753056,nan,nan,nan,nan,nan,nan,
SHV 0529355-694037,X0799,SHV 0529355-694037,xsl_spectrum_X0799_merged_ncl_ncge.fits,82.2964583,-69.64025,3756.0,39.0,1.100000023841858,0.17000000178813934,-0.3799999952316284,0.10000000149011612,
SHV 0529355-694037,X0800,SHV 0529355-694037,xsl_spectrum_X0800_merged_ncl_ncge.fits,82.2964583,-69.64025,3756.0,39.0,1.100000023841858,0.17000000178813934,-0.3799999952316284,0.10000000149011612,
SHV 0529355-694037,X0801,SHV 0529355-694037,xsl_spectrum_X0801_merged.fits,82.2964583,-69.64025,3756.0,39.0,1.100000023841858,0.17000000178813934,-0.3799999952316284,0.10000000149011612,
SHV 0529467-693825,X0101,SHV 0529467-693825,xsl_spectrum_X0101_merged_ncl_ncge.fits,82.3444167,-69.6036111,3080.0,51.0,0.3400000035762787,0.1899999976158142,-0.46000000834465027,0.17000000178813934,
SHV 0530380-702618,X0807,SHV 0530380-702618,xsl_spectrum_X0807_merged.fits,82.5242083,-70.4019167,3302.0,54.0,0.30000001192092896,0.1899999976158142,-0.07000000029802322,0.14000000059604645,
SHV 0530380-702618,X0808,SHV 0530380-702618,xsl_spectrum_X0808_merged_ncl.fits,82.5242083,-70.4019167,3302.0,54.0,0.30000001192092896,0.1899999976158142,-0.07000000029802322,0.14000000059604645,
[M2002] LMC 148035,X0119,[M2002] LMC 148035,xsl_spectrum_X0119_merged.fits,82.6480833,-68.9898333,3469.0,57.0,0.5899999737739563,0.1899999976158142,-0.8199999928474426,0.17000000178813934,
